2025/12/26 10:05更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
央视频道,#genre#
CCTV1,http://106.59.2.207:55555/udp/239.200.201.135:8880
CCTV2,http://106.59.2.207:55555/udp/239.200.200.104:8084
CCTV3,http://106.59.2.207:55555/udp/239.200.200.18:9008
CCTV4,http://106.59.2.207:55555/udp/239.200.200.128:8652
CCTV5,http://106.59.2.207:55555/udp/239.200.200.20:9016
CCTV6,http://106.59.2.207:55555/rtp/239.200.200.21:9020
CCTV7,http://106.59.2.207:55555/udp/239.200.200.105:8104
CCTV8,http://106.59.2.207:55555/udp/239.200.200.23:9028
CCTV9,http://106.59.2.207:55555/udp/239.200.200.106:8112
CCTV10,http://106.59.2.207:55555/rtp/239.200.200.107:8116
CCTV11,http://106.59.2.207:55555/rtp/239.200.201.125:8480
CCTV12,http://106.59.2.207:55555/udp/239.200.200.108:8124
CCTV13,http://106.59.2.207:55555/udp/239.200.201.170:8620
CCTV14,http://106.59.2.207:55555/udp/239.200.200.109:8132
CCTV15,http://106.59.2.207:55555/rtp/239.200.201.112:8496
CCTV16,http://106.59.2.207:55555/rtp/239.200.200.193:8776
CCTV17,http://106.59.2.207:55555/rtp/239.200.201.128:8504
第一剧场,http://106.59.2.207:55555/rtp/239.200.200.82:8004
怀旧剧场,http://106.59.2.207:55555/rtp/239.200.200.85:8032
风云剧场,http://106.59.2.207:55555/rtp/239.200.200.84:8016
风云音乐,http://106.59.2.207:55555/rtp/239.200.200.86:8008
兵器科技,http://106.59.2.207:55555/rtp/239.200.200.91:8036
风云足球,http://106.59.2.207:55555/rtp/239.200.200.88:8020
高尔夫网球,http://106.59.2.207:55555/rtp/239.200.200.89:8024
央视台球,http://106.59.2.207:55555/rtp/239.200.200.135:8076
女性时尚,http://106.59.2.207:55555/rtp/239.200.200.100:8084
电视指南,http://106.59.2.207:55555/rtp/239.200.200.83:8000
央视文化精品,http://106.59.2.207:55555/rtp/239.200.200.92:8028
世界地理,http://106.59.2.207:55555/rtp/239.200.200.130:8012
中国天气,http://183.220.107.138:4022/rtp/239.10.0.177:5140
CETV早期教育,http://111.162.207.175:8686/rtp/225.1.2.207:5002
CETV1,http://106.59.2.207:55555/udp/239.200.201.49:8756
CETV2,http://106.59.2.207:55555/rtp/239.200.201.121:8780
CETV4,http://106.59.2.207:55555/rtp/239.200.201.122:8784
卫视频道,#genre#
重温经典,http://115.171.80.250:1688/rtp/225.1.8.39:8002
凤凰卫视中文台,http://27.191.203.237:19999/rtp/239.254.201.2:5226
凤凰卫视资讯台,http://27.191.203.237:19999/rtp/239.254.201.3:5227
湖南卫视,http://106.59.2.207:55555/rtp/239.200.200.6:8012
浙江卫视,http://106.59.2.207:55555/udp/239.200.200.141:8724
东方卫视,http://106.59.2.207:55555/udp/239.200.200.8:8032
北京卫视,http://106.59.2.207:55555/rtp/239.200.200.5:8024
江苏卫视,http://106.59.2.207:55555/udp/239.200.200.7:8028
安徽卫视,http://106.59.2.207:55555/udp/239.200.200.129:8720
重庆卫视,http://106.59.2.207:55555/rtp/239.200.200.49:8264
四川卫视,http://106.59.2.207:55555/udp/239.200.201.137:8796
东南卫视,http://106.59.2.207:55555/udp/239.200.201.69:8764
深圳卫视,http://106.59.2.207:55555/rtp/239.200.200.67:8776
广东卫视,http://106.59.2.207:55555/udp/239.200.201.35:8768
广西卫视,http://106.59.2.207:55555/rtp/239.200.200.53:8280
厦门卫视,http://115.171.80.250:1688/rtp/225.1.8.166:4120
甘肃卫视,http://106.59.2.207:55555/udp/239.200.200.186:8356
贵州卫视,http://106.59.2.207:55555/udp/239.200.201.119:8788
河北卫视,http://111.127.157.187:51234/rtp/239.29.0.124:5000
河南卫视,http://106.59.2.207:55555/udp/239.200.201.158:8412
黑龙江卫视,http://106.59.2.207:55555/rtp/239.200.200.66:8016
湖北卫视,http://106.59.2.207:55555/rtp/239.200.200.68:8772
江西卫视,http://106.59.2.207:55555/udp/239.200.201.79:8876
吉林卫视,http://106.59.2.207:55555/udp/239.200.201.127:8792
内蒙古卫视,http://111.127.157.187:51234/rtp/239.29.0.2:5000
辽宁卫视,http://106.59.2.207:55555/udp/239.200.200.167:8736
宁夏卫视,http://106.59.2.207:55555/rtp/239.200.200.60:8308
青海卫视,http://106.59.2.207:55555/rtp/239.200.200.58:8300
山东卫视,http://106.59.2.207:55555/rtp/239.200.200.168:8748
山东教育卫视,http://106.59.2.207:55555/rtp/239.200.201.77:8132
山西卫视,http://106.59.2.207:55555/rtp/239.200.200.56:8292
天津卫视,http://106.59.2.207:55555/udp/239.200.200.69:1234
海南卫视,http://106.59.2.207:55555/udp/239.200.201.159:8408
新疆卫视,http://106.59.2.207:55555/rtp/239.200.200.62:8316
云南卫视,http://106.59.2.207:55555/rtp/239.200.200.145:8840
西藏卫视,http://106.59.2.207:55555/rtp/239.200.200.61:8312
海峡卫视,http://112.109.206.190:9999/rtp/239.255.40.157:8208
兵团卫视,http://111.127.157.187:51234/rtp/239.29.1.34:5001
安多卫视,http://221.10.226.195:5000/rtp/239.0.0.109:5140
康巴卫视,http://183.220.107.138:4022/rtp/239.11.0.10:5140
农林卫视,http://218.86.184.116:8188/rtp/238.255.2.120:5999
三沙卫视,http://106.59.2.207:55555/rtp/239.200.201.136:8140
延边卫视,http://183.220.107.138:4022/rtp/239.11.0.206:5140
数字频道,#genre#
